round: 2
step: 0
No movement. id: 0; pos: (51, 57); energy: 999
Movement. id: 49; pos: (48, 83); energy: 965
49: 48x82; health: 100; energy: 967
Movement. id: 50; pos: (39, 52); energy: 968
50: 39x51; health: 100; energy: 970
No movement. id: 51; pos: (27, 14); energy: 980
51: 27x14; health: 100; energy: 981
Movement. id: 52; pos: (94, 99); energy: 980
52: 93x99; health: 100; energy: 982
No movement. id: 53; pos: (74, 63); energy: 981
53: 74x63; health: 100; energy: 982
No movement. id: 54; pos: (81, 38); energy: 981
54: 81x38; health: 100; energy: 982
Movement. id: 55; pos: (99, 66); energy: 980
55: 99x65; health: 100; energy: 982
Movement. id: 56; pos: (99, 9); energy: 980
56: 99x8; health: 100; energy: 982
Movement. id: 57; pos: (96, 8); energy: 980
57: 96x7; health: 100; energy: 982
Movement. id: 58; pos: (7, 43); energy: 980
58: 7x42; health: 100; energy: 982
Movement. id: 59; pos: (64, 60); energy: 980
59: 64x59; health: 100; energy: 982
Movement. id: 60; pos: (73, 99); energy: 980
60: 72x99; health: 100; energy: 982
Movement. id: 61; pos: (37, 10); energy: 980
61: 36x10; health: 100; energy: 982
Movement. id: 62; pos: (99, 13); energy: 981
62: 99x12; health: 100; energy: 983
Movement. id: 63; pos: (58, 19); energy: 981
63: 57x19; health: 100; energy: 983
Movement. id: 64; pos: (53, 99); energy: 981
64: 52x99; health: 100; energy: 983
No movement. id: 65; pos: (84, 26); energy: 982
65: 84x26; health: 100; energy: 983
Movement. id: 66; pos: (46, 99); energy: 982
66: 46x99; health: 100; energy: 984
Movement. id: 67; pos: (27, 19); energy: 982
67: 26x19; health: 100; energy: 984
Movement. id: 68; pos: (41, 99); energy: 982
68: 41x99; health: 100; energy: 984
Movement. id: 69; pos: (71, 29); energy: 982
69: 70x29; health: 100; energy: 984
Movement. id: 70; pos: (20, 19); energy: 987
70: 12x19; health: 82; energy: 989
Movement. id: 71; pos: (46, 54); energy: 991
Attack. id: 71; pos: (46, 54); target: 20; attack: 11
71: 48x53; health: 100; energy: 993
Movement. id: 72; pos: (19, 12); energy: 997
72: 12x19; health: 70; energy: 999
Movement. id: 73; pos: (81, 47); energy: 997
73: 88x54; health: 88; energy: 999
Movement. id: 74; pos: (82, 10); energy: 997
74: 89x17; health: 100; energy: 999
Movement. id: 75; pos: (5, 64); energy: 997
75: 3x69; health: 100; energy: 999
Movement. id: 76; pos: (86, 45); energy: 1097
76: 88x54; health: 100; energy: 1099
step: 1
Movement. id: 0; pos: (51, 58); energy: 997
0: 51x57; health: 100; energy: 999
Movement. id: 1; pos: (74, 30); energy: 996
1: 78x27; health: 100; energy: 998
Movement. id: 2; pos: (25, 16); energy: 996
Defence. id: 2; pos: (25, 16); target: 70; defence: 6
2: 18x23; health: 100; energy: 998
Movement. id: 3; pos: (91, 68); energy: 996
3: 84x75; health: 100; energy: 998
Added energy on point. id: 4; pos: (70, 33); energy: 1000
No movement. id: 4; pos: (70, 33); energy: 999
Health redistribution. id: 4; pos: (70,33); attack: 35, -10; defence: 55, 10; speed: 10, 0
4: 70x33; health: 100; energy: 998
Movement. id: 5; pos: (18, 13); energy: 996
5: 18x12; health: 100; energy: 998
Movement. id: 6; pos: (18, 57); energy: 997
6: 17x57; health: 100; energy: 999
Movement. id: 7; pos: (73, 82); energy: 997
7: 72x82; health: 100; energy: 999
Movement. id: 8; pos: (23, 41); energy: 997
8: 22x40; health: 100; energy: 999
Movement. id: 9; pos: (11, 15); energy: 996
Attack. id: 9; pos: (11, 15); target: 13; attack: 4
9: 8x24; health: 100; energy: 998
No movement. id: 10; pos: (49, 36); energy: 997
10: 49x36; health: 100; energy: 998
Movement. id: 11; pos: (61, 42); energy: 996
11: 61x41; health: 100; energy: 998
No movement. id: 12; pos: (79, 20); energy: 997
12: 79x20; health: 100; energy: 998
Movement. id: 13; pos: (18, 12); energy: 991
Attack. id: 13; pos: (18, 12); target: 5; attack: 8
Health redistribution. id: 13; pos: (18,12); attack: 45, -3; defence: 41, 3; speed: 10, 0
13: 11x15; health: 96; energy: 993
Movement. id: 14; pos: (53, 75); energy: 997
14: 52x75; health: 100; energy: 999
Movement. id: 15; pos: (38, 72); energy: 997
15: 37x72; health: 100; energy: 999
Movement. id: 16; pos: (47, 9); energy: 996
16: 46x9; health: 100; energy: 998
Movement. id: 17; pos: (60, 4); energy: 996
17: 59x4; health: 100; energy: 998
No movement. id: 18; pos: (78, 35); energy: 997
18: 78x35; health: 100; energy: 998
Movement. id: 19; pos: (71, 71); energy: 996
19: 70x70; health: 100; energy: 998
No movement. id: 20; pos: (46, 55); energy: 992
20: 46x55; health: 89; energy: 993
No movement. id: 21; pos: (84, 43); energy: 997
21: 84x43; health: 100; energy: 998
Movement. id: 22; pos: (91, 41); energy: 997
22: 90x40; health: 100; energy: 999
Movement. id: 23; pos: (83, 59); energy: 996
23: 82x59; health: 100; energy: 998
Movement. id: 24; pos: (76, 23); energy: 997
24: 75x23; health: 100; energy: 999
Movement. id: 25; pos: (94, 59); energy: 991
25: 93x59; health: 97; energy: 993
Movement. id: 26; pos: (99, 7); energy: 996
26: 99x6; health: 100; energy: 998
27: 87x58; health: 55; energy: 0
Movement. id: 28; pos: (85, 13); energy: 271
28: 87x15; health: 55; energy: 273
Movement. id: 29; pos: (82, 59); energy: 869
Attack. id: 29; pos: (82, 59); target: 23; attack: 7
29: 87x58; health: 100; energy: 871
Movement. id: 30; pos: (70, 46); energy: 891
30: 69x52; health: 89; energy: 893
Movement. id: 31; pos: (93, 59); energy: 900
Attack. id: 31; pos: (93, 59); target: 25; attack: 8
Health redistribution. id: 31; pos: (93,59); attack: 32, 1; defence: 55, -1; speed: 10, 0
31: 92x58; health: 97; energy: 902
Movement. id: 32; pos: (68, 59); energy: 958
32: 68x58; health: 98; energy: 960
Movement. id: 33; pos: (27, 33); energy: 958
33: 26x33; health: 100; energy: 960
Movement. id: 34; pos: (92, 99); energy: 959
34: 92x98; health: 100; energy: 961
Movement. id: 35; pos: (17, 51); energy: 958
35: 16x51; health: 100; energy: 960
Movement. id: 36; pos: (78, 88); energy: 958
36: 78x87; health: 100; energy: 960
Movement. id: 37; pos: (21, 40); energy: 959
37: 20x40; health: 100; energy: 961
Movement. id: 38; pos: (99, 11); energy: 959
38: 99x11; health: 100; energy: 961
No movement. id: 39; pos: (29, 60); energy: 960
39: 29x60; health: 100; energy: 961
Movement. id: 40; pos: (47, 99); energy: 961
40: 46x99; health: 100; energy: 963
No movement. id: 41; pos: (58, 82); energy: 963
41: 58x82; health: 100; energy: 964
No movement. id: 42; pos: (81, 91); energy: 964
42: 81x91; health: 100; energy: 965
Movement. id: 43; pos: (95, 99); energy: 962
43: 95x99; health: 100; energy: 964
Movement. id: 44; pos: (42, 55); energy: 962
44: 41x55; health: 100; energy: 964
Movement. id: 45; pos: (72, 58); energy: 962
45: 71x58; health: 100; energy: 964
Movement. id: 46; pos: (61, 19); energy: 963
46: 60x19; health: 100; energy: 965
Movement. id: 47; pos: (82, 61); energy: 963
47: 81x61; health: 100; energy: 965
No movement. id: 48; pos: (99, 12); energy: 964
48: 99x12; health: 100; energy: 965
Movement. id: 49; pos: (48, 84); energy: 963
49: 48x83; health: 100; energy: 965
No movement. id: 50; pos: (39, 52); energy: 967
50: 39x52; health: 100; energy: 968
Movement. id: 51; pos: (28, 15); energy: 978
51: 27x14; health: 100; energy: 980
Movement. id: 52; pos: (95, 99); energy: 978
52: 94x99; health: 100; energy: 980
No movement. id: 53; pos: (74, 63); energy: 980
53: 74x63; health: 100; energy: 981
Movement. id: 54; pos: (82, 38); energy: 979
54: 81x38; health: 100; energy: 981
Movement. id: 55; pos: (99, 67); energy: 978
55: 99x66; health: 100; energy: 980
No movement. id: 56; pos: (99, 9); energy: 979
56: 99x9; health: 100; energy: 980
Movement. id: 57; pos: (96, 9); energy: 978
57: 96x8; health: 100; energy: 980
Movement. id: 58; pos: (7, 44); energy: 978
58: 7x43; health: 100; energy: 980
Movement. id: 59; pos: (65, 61); energy: 978
59: 64x60; health: 100; energy: 980
Movement. id: 60; pos: (74, 99); energy: 978
60: 73x99; health: 100; energy: 980
Movement. id: 61; pos: (38, 11); energy: 978
61: 37x10; health: 100; energy: 980
Movement. id: 62; pos: (99, 14); energy: 979
62: 99x13; health: 100; energy: 981
Movement. id: 63; pos: (59, 19); energy: 979
63: 58x19; health: 100; energy: 981
Movement. id: 64; pos: (53, 99); energy: 979
64: 53x99; health: 100; energy: 981
No movement. id: 65; pos: (84, 26); energy: 981
65: 84x26; health: 100; energy: 982
Movement. id: 66; pos: (46, 99); energy: 980
66: 46x99; health: 100; energy: 982
Movement. id: 67; pos: (28, 20); energy: 980
67: 27x19; health: 100; energy: 982
Movement. id: 68; pos: (42, 99); energy: 980
68: 41x99; health: 100; energy: 982
No movement. id: 69; pos: (71, 29); energy: 981
69: 71x29; health: 100; energy: 982
Movement. id: 70; pos: (28, 19); energy: 980
Attack. id: 70; pos: (28, 19); target: 2; attack: 2
70: 20x19; health: 82; energy: 982
Movement. id: 71; pos: (41, 55); energy: 979
Attack. id: 71; pos: (41, 55); target: 44; attack: 6
71: 46x54; health: 100; energy: 981
Movement. id: 72; pos: (26, 19); energy: 995
72: 19x12; health: 70; energy: 997
Movement. id: 73; pos: (86, 45); energy: 995
73: 81x47; health: 88; energy: 997
Movement. id: 74; pos: (75, 3); energy: 995
74: 82x10; health: 100; energy: 997
Added energy on point. id: 75; pos: (5, 64); energy: 1000
No movement. id: 75; pos: (5, 64); energy: 999
75: 5x64; health: 100; energy: 997
Added energy on point. id: 76; pos: (86, 45); energy: 1000
No movement. id: 76; pos: (86, 45); energy: 999
Attack. id: 76; pos: (86, 45); target: 21; attack: 8
76: 86x45; health: 100; energy: 1000
step: 2
No movement. id: 0; pos: (51, 58); energy: 996
0: 51x58; health: 100; energy: 997
Movement. id: 1; pos: (70, 33); energy: 994
Attack. id: 1; pos: (70, 33); target: 69; attack: 8
1: 74x30; health: 100; energy: 996
Movement. id: 2; pos: (34, 16); energy: 979
2: 25x16; health: 92; energy: 981
Movement. id: 3; pos: (99, 68); energy: 994
3: 91x68; health: 100; energy: 996
Added energy on point. id: 4; pos: (70, 33); energy: 1000
No movement. id: 4; pos: (70, 33); energy: 999
Health redistribution. id: 4; pos: (70,33); attack: 25, -10; defence: 65, 10; speed: 10, 0
4: 70x33; health: 100; energy: 999
Movement. id: 5; pos: (18, 14); energy: 989
5: 18x13; health: 92; energy: 991
Movement. id: 6; pos: (19, 58); energy: 995
6: 18x57; health: 100; energy: 997
Movement. id: 7; pos: (73, 83); energy: 995
7: 73x82; health: 100; energy: 997
Movement. id: 8; pos: (24, 42); energy: 995
8: 23x41; health: 100; energy: 997
Movement. id: 9; pos: (18, 13); energy: 984
Attack. id: 9; pos: (18, 13); target: 5; attack: 6
9: 11x15; health: 100; energy: 986
Movement. id: 10; pos: (49, 37); energy: 995
10: 49x36; health: 100; energy: 997
Movement. id: 11; pos: (61, 43); energy: 994
11: 61x42; health: 100; energy: 996
No movement. id: 12; pos: (79, 20); energy: 996
12: 79x20; health: 100; energy: 997
Movement. id: 13; pos: (18, 13); energy: 979
Attack. id: 13; pos: (18, 13); target: 5; attack: 13
13: 18x12; health: 96; energy: 981
Movement. id: 14; pos: (54, 76); energy: 995
14: 53x75; health: 100; energy: 997
Movement. id: 15; pos: (39, 72); energy: 995
15: 38x72; health: 100; energy: 997
Movement. id: 16; pos: (48, 10); energy: 994
16: 47x9; health: 100; energy: 996
No movement. id: 17; pos: (60, 4); energy: 995
17: 60x4; health: 100; energy: 996
Movement. id: 18; pos: (79, 36); energy: 995
18: 78x35; health: 100; energy: 997
No movement. id: 19; pos: (71, 71); energy: 995
19: 71x71; health: 100; energy: 996
Movement. id: 20; pos: (47, 55); energy: 990
20: 46x55; health: 89; energy: 992
Movement. id: 21; pos: (85, 43); energy: 990
21: 84x43; health: 92; energy: 992
Movement. id: 22; pos: (92, 42); energy: 995
22: 91x41; health: 100; energy: 997
Movement. id: 23; pos: (84, 59); energy: 989
23: 83x59; health: 93; energy: 991
Movement. id: 24; pos: (76, 24); energy: 995
24: 76x23; health: 100; energy: 997
Movement. id: 25; pos: (94, 60); energy: 984
25: 94x59; health: 89; energy: 986
No movement. id: 26; pos: (99, 7); energy: 995
26: 99x7; health: 100; energy: 996
27: 87x58; health: 55; energy: 0
Movement. id: 28; pos: (83, 11); energy: 269
28: 85x13; health: 55; energy: 271
Movement. id: 29; pos: (83, 59); energy: 857
Attack. id: 29; pos: (83, 59); target: 23; attack: 9
29: 82x59; health: 100; energy: 859
Movement. id: 30; pos: (72, 40); energy: 889
30: 70x46; health: 89; energy: 891
Movement. id: 31; pos: (94, 59); energy: 888
Defence. id: 31; pos: (94, 59); target: 25; defence: 7
Health redistribution. id: 31; pos: (94,59); attack: 26, 1; defence: 54, -1; speed: 10, 0
31: 93x59; health: 97; energy: 890
Movement. id: 32; pos: (68, 60); energy: 956
32: 68x59; health: 98; energy: 958
Movement. id: 33; pos: (28, 34); energy: 956
33: 27x33; health: 100; energy: 958
No movement. id: 34; pos: (92, 99); energy: 958
34: 92x99; health: 100; energy: 959
Movement. id: 35; pos: (18, 52); energy: 956
35: 17x51; health: 100; energy: 958
Movement. id: 36; pos: (79, 88); energy: 956
36: 78x88; health: 100; energy: 958
Movement. id: 37; pos: (22, 41); energy: 957
37: 21x40; health: 100; energy: 959
No movement. id: 38; pos: (99, 11); energy: 958
38: 99x11; health: 100; energy: 959
Movement. id: 39; pos: (29, 61); energy: 958
39: 29x60; health: 100; energy: 960
Movement. id: 40; pos: (48, 99); energy: 959
40: 47x99; health: 100; energy: 961
Movement. id: 41; pos: (59, 82); energy: 961
41: 58x82; health: 100; energy: 963
Movement. id: 42; pos: (82, 92); energy: 962
42: 81x91; health: 100; energy: 964
No movement. id: 43; pos: (95, 99); energy: 961
43: 95x99; health: 100; energy: 962
Movement. id: 44; pos: (43, 56); energy: 955
44: 42x55; health: 94; energy: 957
No movement. id: 45; pos: (72, 58); energy: 961
45: 72x58; health: 100; energy: 962
Movement. id: 46; pos: (62, 19); energy: 961
46: 61x19; health: 100; energy: 963
Movement. id: 47; pos: (83, 61); energy: 961
47: 82x61; health: 100; energy: 963
Movement. id: 48; pos: (99, 13); energy: 962
48: 99x12; health: 100; energy: 964
Movement. id: 49; pos: (49, 84); energy: 961
49: 48x84; health: 100; energy: 963
Movement. id: 50; pos: (39, 53); energy: 965
50: 39x52; health: 100; energy: 967
Movement. id: 51; pos: (28, 16); energy: 976
51: 28x15; health: 100; energy: 978
No movement. id: 52; pos: (95, 99); energy: 977
52: 95x99; health: 100; energy: 978
No movement. id: 53; pos: (74, 63); energy: 979
53: 74x63; health: 100; energy: 980
No movement. id: 54; pos: (82, 38); energy: 978
54: 82x38; health: 100; energy: 979
No movement. id: 55; pos: (99, 67); energy: 977
55: 99x67; health: 100; energy: 978
Movement. id: 56; pos: (99, 9); energy: 977
56: 99x9; health: 100; energy: 979
Movement. id: 57; pos: (97, 10); energy: 976
57: 96x9; health: 100; energy: 978
Movement. id: 58; pos: (8, 44); energy: 976
58: 7x44; health: 100; energy: 978
Movement. id: 59; pos: (65, 62); energy: 976
59: 65x61; health: 100; energy: 978
Movement. id: 60; pos: (74, 99); energy: 976
60: 74x99; health: 100; energy: 978
Movement. id: 61; pos: (38, 12); energy: 976
61: 38x11; health: 100; energy: 978
No movement. id: 62; pos: (99, 14); energy: 978
62: 99x14; health: 100; energy: 979
Movement. id: 63; pos: (60, 20); energy: 977
63: 59x19; health: 100; energy: 979
No movement. id: 64; pos: (53, 99); energy: 978
64: 53x99; health: 100; energy: 979
No movement. id: 65; pos: (84, 26); energy: 980
65: 84x26; health: 100; energy: 981
Movement. id: 66; pos: (47, 99); energy: 978
66: 46x99; health: 100; energy: 980
Movement. id: 67; pos: (28, 21); energy: 978
67: 28x20; health: 100; energy: 980
Movement. id: 68; pos: (42, 99); energy: 978
68: 42x99; health: 100; energy: 980
Movement. id: 69; pos: (71, 30); energy: 974
69: 71x29; health: 92; energy: 976
Movement. id: 70; pos: (36, 18); energy: 968
70: 28x19; health: 82; energy: 970
Movement. id: 71; pos: (39, 52); energy: 967
Attack. id: 71; pos: (39, 52); target: 50; attack: 3
71: 41x55; health: 100; energy: 969
Movement. id: 72; pos: (33, 12); energy: 993
72: 26x19; health: 70; energy: 995
Added energy on point. id: 73; pos: (86, 45); energy: 1000
No movement. id: 73; pos: (86, 45); energy: 999
Attack. id: 73; pos: (86, 45); target: 21; attack: 8
73: 86x45; health: 88; energy: 995
Movement. id: 74; pos: (68, 10); energy: 993
74: 75x3; health: 100; energy: 995
Added energy on point. id: 75; pos: (5, 64); energy: 1000
No movement. id: 75; pos: (5, 64); energy: 999
75: 5x64; health: 100; energy: 999
Added energy on point. id: 76; pos: (86, 45); energy: 1000
No movement. id: 76; pos: (86, 45); energy: 999
Attack. id: 76; pos: (86, 45); target: 21; attack: 0
76: 86x45; health: 100; energy: 989
step: 3
Movement. id: 0; pos: (52, 58); energy: 994
0: 51x58; health: 100; energy: 996
Added energy on point. id: 1; pos: (70, 33); energy: 1000
No movement. id: 1; pos: (70, 33); energy: 999
Defence. id: 1; pos: (70, 33); target: 4; defence: 16
1: 70x33; health: 100; energy: 984
Movement. id: 2; pos: (43, 16); energy: 977
2: 34x16; health: 92; energy: 979
Added energy on point. id: 3; pos: (99, 68); energy: 1000
No movement. id: 3; pos: (99, 68); energy: 999
Attack. id: 3; pos: (99, 68); target: 55; attack: 3
3: 99x68; health: 100; energy: 994
Added energy on point. id: 4; pos: (70, 33); energy: 1000
No movement. id: 4; pos: (70, 33); energy: 999
Health redistribution. id: 4; pos: (70,33); attack: 15, -10; defence: 75, 10; speed: 10, 0
4: 70x33; health: 100; energy: 994
Movement. id: 5; pos: (18, 15); energy: 977
5: 18x14; health: 73; energy: 979
No movement. id: 6; pos: (19, 58); energy: 994
6: 19x58; health: 100; energy: 995
Movement. id: 7; pos: (74, 84); energy: 993
7: 73x83; health: 100; energy: 995
Movement. id: 8; pos: (25, 43); energy: 993
8: 24x42; health: 100; energy: 995
No movement. id: 9; pos: (18, 13); energy: 973
Attack. id: 9; pos: (18, 13); target: 13; attack: 17
9: 18x13; health: 100; energy: 974
Movement. id: 10; pos: (50, 38); energy: 993
10: 49x37; health: 100; energy: 995
Movement. id: 11; pos: (61, 44); energy: 992
11: 61x43; health: 100; energy: 994
Movement. id: 12; pos: (80, 21); energy: 994
12: 79x20; health: 100; energy: 996
No movement. id: 13; pos: (18, 13); energy: 963
Attack. id: 13; pos: (18, 13); target: 9; attack: 2
Health redistribution. id: 13; pos: (18,13); attack: 42, -2; defence: 27, 2; speed: 10, 0
13: 18x13; health: 79; energy: 964
Movement. id: 14; pos: (55, 76); energy: 993
14: 54x76; health: 100; energy: 995
Movement. id: 15; pos: (40, 73); energy: 993
15: 39x72; health: 100; energy: 995
Movement. id: 16; pos: (49, 10); energy: 992
16: 48x10; health: 100; energy: 994
Movement. id: 17; pos: (61, 5); energy: 993
17: 60x4; health: 100; energy: 995
Movement. id: 18; pos: (80, 37); energy: 993
18: 79x36; health: 100; energy: 995
Movement. id: 19; pos: (71, 72); energy: 993
19: 71x71; health: 100; energy: 995
No movement. id: 20; pos: (47, 55); energy: 989
20: 47x55; health: 89; energy: 990
Movement. id: 21; pos: (85, 44); energy: 978
21: 85x43; health: 84; energy: 980
Movement. id: 22; pos: (93, 42); energy: 993
22: 92x42; health: 100; energy: 995
Movement. id: 23; pos: (85, 59); energy: 982
23: 84x59; health: 84; energy: 984
Movement. id: 24; pos: (77, 24); energy: 993
24: 76x24; health: 100; energy: 995
Movement. id: 25; pos: (95, 60); energy: 977
25: 94x60; health: 89; energy: 979
No movement. id: 26; pos: (99, 7); energy: 994
26: 99x7; health: 100; energy: 995
27: 87x58; health: 55; energy: 0
Movement. id: 28; pos: (81, 9); energy: 267
28: 83x11; health: 55; energy: 269
Movement. id: 29; pos: (84, 59); energy: 845
Attack. id: 29; pos: (84, 59); target: 23; attack: 11
29: 83x59; health: 100; energy: 847
Added health on point. id: 30; pos: (72, 40); health: 97
No movement. id: 30; pos: (72, 40); energy: 888
30: 72x40; health: 89; energy: 889
Movement. id: 31; pos: (94, 60); energy: 876
Attack. id: 31; pos: (94, 60); target: 25; attack: 5
Health redistribution. id: 31; pos: (94,60); attack: 27, 1; defence: 53, -1; speed: 10, 0
31: 94x59; health: 90; energy: 878
Movement. id: 32; pos: (68, 61); energy: 954
32: 68x60; health: 98; energy: 956
Movement. id: 33; pos: (28, 35); energy: 954
33: 28x34; health: 100; energy: 956
No movement. id: 34; pos: (92, 99); energy: 957
34: 92x99; health: 100; energy: 958
Movement. id: 35; pos: (18, 53); energy: 954
35: 18x52; health: 100; energy: 956
No movement. id: 36; pos: (79, 88); energy: 955
36: 79x88; health: 100; energy: 956
Movement. id: 37; pos: (23, 42); energy: 955
37: 22x41; health: 100; energy: 957
Movement. id: 38; pos: (99, 12); energy: 956
38: 99x11; health: 100; energy: 958
Movement. id: 39; pos: (30, 62); energy: 956
39: 29x61; health: 100; energy: 958
Movement. id: 40; pos: (49, 99); energy: 957
40: 48x99; health: 100; energy: 959
Movement. id: 41; pos: (59, 83); energy: 959
41: 59x82; health: 100; energy: 961
Movement. id: 42; pos: (83, 92); energy: 960
42: 82x92; health: 100; energy: 962
Movement. id: 43; pos: (95, 99); energy: 959
43: 95x99; health: 100; energy: 961
Movement. id: 44; pos: (43, 57); energy: 953
44: 43x56; health: 94; energy: 955
Movement. id: 45; pos: (73, 58); energy: 959
45: 72x58; health: 100; energy: 961
Movement. id: 46; pos: (63, 20); energy: 959
46: 62x19; health: 100; energy: 961
Movement. id: 47; pos: (84, 62); energy: 959
47: 83x61; health: 100; energy: 961
Movement. id: 48; pos: (99, 14); energy: 960
48: 99x13; health: 100; energy: 962
No movement. id: 49; pos: (49, 84); energy: 960
49: 49x84; health: 100; energy: 961
Movement. id: 50; pos: (39, 54); energy: 958
50: 39x53; health: 97; energy: 960
Movement. id: 51; pos: (29, 16); energy: 974
51: 28x16; health: 100; energy: 976
Movement. id: 52; pos: (96, 99); energy: 975
52: 95x99; health: 100; energy: 977
Movement. id: 53; pos: (75, 63); energy: 977
53: 74x63; health: 100; energy: 979
No movement. id: 54; pos: (82, 38); energy: 977
54: 82x38; health: 100; energy: 978
Movement. id: 55; pos: (99, 68); energy: 970
55: 99x67; health: 97; energy: 972
No movement. id: 56; pos: (99, 9); energy: 976
56: 99x9; health: 100; energy: 977
Movement. id: 57; pos: (98, 11); energy: 974
57: 97x10; health: 100; energy: 976
Movement. id: 58; pos: (9, 45); energy: 974
58: 8x44; health: 100; energy: 976
No movement. id: 59; pos: (65, 62); energy: 975
59: 65x62; health: 100; energy: 976
Movement. id: 60; pos: (75, 99); energy: 974
60: 74x99; health: 100; energy: 976
Movement. id: 61; pos: (38, 13); energy: 974
61: 38x12; health: 100; energy: 976
Movement. id: 62; pos: (99, 15); energy: 976
62: 99x14; health: 100; energy: 978
No movement. id: 63; pos: (60, 20); energy: 976
63: 60x20; health: 100; energy: 977
Movement. id: 64; pos: (53, 99); energy: 976
64: 53x99; health: 100; energy: 978
No movement. id: 65; pos: (84, 26); energy: 979
